                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                  1.292,                0.90749,                 1.1872,                0.58246,                 0.4336,                0.43508,                0.25051,                 1.6814,                 1.0779,                 1.2552,               0.004555,               0.004555,               0.004555
                     57,                 1.2896,                0.89316,                 1.1843,                0.57226,                0.44005,                0.43795,                0.25064,                 1.6723,                 1.0701,                 1.2527,               0.004456,               0.004456,               0.004456
                     58,                 1.2827,                0.89189,                  1.184,                0.57339,                0.44116,                0.44002,                0.25243,                 1.6802,                 1.0675,                 1.2586,               0.004357,               0.004357,               0.004357
                     59,                 1.2803,                0.88366,                 1.1805,                0.57793,                0.43737,                  0.439,                0.25331,                 1.6719,                 1.0648,                 1.2565,               0.004258,               0.004258,               0.004258
                     60,                 1.2794,                0.87794,                 1.1765,                0.59339,                0.43763,                0.43842,                0.25286,                 1.6745,                 1.0552,                 1.2459,               0.004159,               0.004159,               0.004159
                     61,                 1.2856,                0.87949,                 1.1808,                 0.5742,                0.44407,                 0.4403,                0.25334,                 1.6708,                 1.0554,                 1.2441,                0.00406,                0.00406,                0.00406
                     62,                 1.2666,                0.87652,                 1.1766,                0.56522,                0.44328,                0.43971,                0.25332,                 1.6588,                 1.0523,                  1.257,               0.003961,               0.003961,               0.003961
                     63,                 1.2558,                0.86651,                 1.1766,                0.56996,                0.44704,                0.44199,                0.25629,                 1.6535,                 1.0562,                 1.2517,               0.003862,               0.003862,               0.003862
                     64,                 1.2582,                 0.8683,                 1.1676,                0.57469,                0.44497,                0.44011,                0.25472,                 1.6641,                 1.0609,                  1.252,               0.003763,               0.003763,               0.003763
                     65,                 1.2552,                0.86809,                  1.172,                0.57389,                   0.45,                0.44349,                0.25625,                  1.649,                 1.0551,                 1.2401,               0.003664,               0.003664,               0.003664
                     66,                 1.2591,                0.86772,                 1.1729,                0.57663,                0.44005,                0.44193,                0.25495,                 1.6514,                 1.0603,                 1.2321,               0.003565,               0.003565,               0.003565
                     67,                 1.2524,                0.86001,                 1.1649,                0.57667,                0.44247,                 0.4416,                0.25537,                 1.6467,                  1.057,                 1.2315,               0.003466,               0.003466,               0.003466
                     68,                 1.2461,                0.85583,                  1.163,                0.58067,                0.44247,                0.44252,                0.25665,                 1.6472,                 1.0461,                 1.2288,               0.003367,               0.003367,               0.003367
                     69,                 1.2464,                0.85401,                 1.1612,                0.58516,                0.43834,                0.44285,                0.25713,                  1.654,                 1.0494,                 1.2347,               0.003268,               0.003268,               0.003268
                     70,                  1.242,                0.84894,                 1.1681,                0.58428,                0.44318,                0.44398,                0.25835,                 1.6487,                 1.0478,                  1.235,               0.003169,               0.003169,               0.003169
                     71,                 1.2317,                0.84037,                  1.154,                 0.5839,                0.44543,                0.44607,                0.26021,                 1.6414,                 1.0412,                 1.2326,                0.00307,                0.00307,                0.00307
                     72,                 1.2379,                0.84824,                 1.1629,                0.59091,                0.44435,                0.44903,                0.26145,                 1.6385,                 1.0358,                 1.2304,               0.002971,               0.002971,               0.002971
                     73,                 1.2173,                 0.8283,                 1.1518,                0.58423,                0.44489,                0.44892,                0.26078,                 1.6415,                  1.032,                 1.2299,               0.002872,               0.002872,               0.002872
                     74,                 1.2141,                0.82195,                 1.1484,                0.57692,                   0.45,                0.44617,                0.25965,                 1.6467,                 1.0318,                 1.2373,               0.002773,               0.002773,               0.002773
                     75,                 1.2156,                 0.8362,                 1.1434,                0.58048,                0.45044,                0.44779,                0.25952,                 1.6482,                 1.0336,                 1.2409,               0.002674,               0.002674,               0.002674
                     76,                 1.2096,                0.83068,                 1.1491,                0.57571,                0.44864,                 0.4477,                0.26091,                 1.6427,                 1.0295,                 1.2371,               0.002575,               0.002575,               0.002575
                     77,                 1.2053,                  0.819,                 1.1434,                0.57225,                0.45269,                0.44815,                0.26125,                 1.6458,                 1.0253,                 1.2433,               0.002476,               0.002476,               0.002476
                     78,                 1.1956,                0.81957,                 1.1446,                0.57615,                0.45384,                0.44866,                0.26172,                 1.6437,                 1.0232,                 1.2401,               0.002377,               0.002377,               0.002377
                     79,                 1.1937,                0.80397,                 1.1362,                  0.579,                0.45323,                0.44926,                0.26159,                 1.6458,                 1.0217,                 1.2376,               0.002278,               0.002278,               0.002278
                     80,                 1.1911,                0.81005,                 1.1373,                0.57737,                0.45376,                0.44912,                0.26209,                 1.6458,                 1.0195,                 1.2397,               0.002179,               0.002179,               0.002179
                     81,                 1.1947,                0.81204,                 1.1403,                 0.5784,                0.45323,                0.44922,                0.26217,                 1.6504,                 1.0168,                 1.2414,                0.00208,                0.00208,                0.00208
                     82,                 1.1767,                0.80025,                 1.1369,                0.57642,                 0.4558,                0.44975,                0.26251,                 1.6452,                 1.0139,                 1.2393,               0.001981,               0.001981,               0.001981
                     83,                 1.1797,                0.79888,                  1.135,                0.57635,                0.46022,                0.45094,                0.26283,                 1.6455,                 1.0147,                 1.2407,               0.001882,               0.001882,               0.001882
                     84,                 1.1778,                0.79235,                 1.1296,                0.57426,                0.46102,                 0.4506,                0.26364,                 1.6453,                 1.0128,                 1.2439,               0.001783,               0.001783,               0.001783
                     85,                 1.1699,                0.78283,                 1.1252,                0.57209,                0.46425,                0.45035,                0.26395,                 1.6448,                 1.0126,                 1.2462,               0.001684,               0.001684,               0.001684
                     86,                 1.1652,                0.79659,                 1.1227,                 0.5726,                 0.4672,                0.45319,                0.26472,                 1.6448,                  1.013,                 1.2455,               0.001585,               0.001585,               0.001585
                     87,                 1.1501,                0.78194,                  1.122,                0.57422,                0.46747,                0.45334,                0.26501,                 1.6457,                 1.0137,                 1.2452,               0.001486,               0.001486,               0.001486
                     88,                 1.1619,                0.77847,                 1.1218,                0.57719,                0.46505,                0.45202,                0.26514,                 1.6434,                 1.0126,                 1.2452,               0.001387,               0.001387,               0.001387
                     89,                 1.1569,                0.77778,                 1.1197,                 0.5752,                0.46478,                0.45108,                0.26518,                 1.6435,                 1.0133,                 1.2456,               0.001288,               0.001288,               0.001288
                     90,                 1.1349,                0.71202,                 1.0787,                0.57398,                 0.4664,                0.45152,                 0.2643,                 1.6463,                 1.0153,                 1.2486,               0.001189,               0.001189,               0.001189
                     91,                 1.1192,                0.70068,                 1.0712,                0.57374,                0.46566,                0.45186,                0.26553,                 1.6487,                 1.0154,                   1.25,                0.00109,                0.00109,                0.00109
                     92,                 1.1176,                 0.7022,                 1.0767,                 0.5765,                0.46532,                0.45334,                 0.2656,                 1.6475,                 1.0132,                 1.2493,               0.000991,               0.000991,               0.000991
                     93,                 1.1044,                0.69475,                 1.0649,                0.57544,                0.46455,                0.45398,                0.26601,                 1.6487,                 1.0137,                 1.2498,               0.000892,               0.000892,               0.000892
                     94,                 1.0954,                0.68171,                 1.0623,                0.57516,                0.46478,                0.45403,                0.26631,                 1.6478,                 1.0123,                 1.2489,               0.000793,               0.000793,               0.000793
                     95,                 1.0885,                 0.6772,                 1.0552,                0.57631,                0.46425,                0.45417,                0.26609,                 1.6485,                 1.0104,                 1.2491,               0.000694,               0.000694,               0.000694
                     96,                 1.0844,                0.66893,                 1.0559,                0.57927,                0.46371,                0.45568,                0.26634,                 1.6473,                 1.0081,                 1.2481,               0.000595,               0.000595,               0.000595
                     97,                 1.0728,                0.66787,                 1.0547,                 0.5775,                 0.4629,                0.45588,                0.26656,                 1.6461,                 1.0069,                 1.2471,               0.000496,               0.000496,               0.000496
                     98,                 1.0665,                0.66198,                 1.0463,                0.58069,                0.46075,                0.45575,                0.26693,                 1.6462,                 1.0055,                  1.248,               0.000397,               0.000397,               0.000397
                     99,                 1.0695,                0.66136,                 1.0528,                0.57876,                0.46183,                0.45613,                0.26689,                 1.6466,                 1.0053,                 1.2488,               0.000298,               0.000298,               0.000298
