                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 4.0205,                 67.455,                  25.25,                0.01255,                0.00269,                0.00056,                0.00017,                 4.0126,                 2114.8,                 14.724,              0.0078715,              0.0078715,              0.0078715
                     45,                 4.0351,                 66.586,                 23.683,                0.00206,                0.03817,                0.00045,                0.00015,                 4.0511,                 2141.7,                 12.377,               0.007822,               0.007822,               0.007822
                     46,                 3.9773,                 68.957,                 21.439,                0.00207,                0.04032,                0.00039,                0.00014,                 4.0726,                   2242,                 10.954,              0.0077725,              0.0077725,              0.0077725
                     47,                 3.9003,                 66.945,                 17.833,                0.00197,                0.03978,                0.00037,                0.00013,                 4.1926,                 2153.7,                 10.856,               0.007723,               0.007723,               0.007723
                     48,                 3.8938,                 67.223,                 14.616,                 0.0021,                0.04892,                0.00037,                0.00013,                 4.6836,                 1630.2,                 10.568,              0.0076735,              0.0076735,              0.0076735
                     49,                  3.927,                 59.815,                 12.349,                0.00882,                0.00215,                 0.0005,                0.00017,                 4.6636,                 778.71,                 9.3223,               0.007624,               0.007624,               0.007624
                     50,                 3.9491,                 55.479,                 10.603,                0.01668,                0.00618,                0.00073,                0.00021,                 4.4862,                 423.21,                 8.7205,              0.0075745,              0.0075745,              0.0075745
                     51,                 4.0458,                 56.008,                 9.8495,                0.01284,                0.00538,                 0.0011,                0.00024,                 4.4578,                 319.23,                 8.0122,               0.007525,               0.007525,               0.007525
                     52,                 4.1152,                 55.385,                 9.7597,                0.01149,                0.00457,                0.00065,                0.00019,                 4.4505,                 284.46,                 7.5491,              0.0074755,              0.0074755,              0.0074755
                      0,                 3.2078,                 11.841,                 4.2225,                 0.1502,                0.01532,                0.01222,                0.00421,                 3.9779,                  3.853,                 3.1722,              0.0033114,              0.0033114,              0.0033114
                      1,                 1.9841,                 1.6758,                  1.775,                 0.3327,                0.12796,                0.09771,                 0.0285,                 3.2379,                 2.5867,                 2.2606,               0.006579,               0.006579,               0.006579
                      2,                 1.7978,                 1.4512,                 1.5716,                  0.436,                0.20645,                0.19828,                0.08603,                 2.4045,                  2.093,                 1.8505,              0.0097805,              0.0097805,              0.0097805
                      3,                 1.7886,                 1.4459,                 1.5522,                0.45185,                0.30672,                0.26475,                0.11662,                 2.1276,                 1.8318,                 1.5692,               0.009703,               0.009703,               0.009703
                      4,                  1.693,                 1.3581,                 1.4847,                0.49524,                0.33364,                0.31442,                 0.1475,                  2.078,                  1.651,                 1.5305,               0.009703,               0.009703,               0.009703
                      5,                 1.6408,                 1.2946,                 1.4491,                0.50786,                0.27554,                0.28049,                0.13722,                  2.074,                 1.7305,                 1.5111,               0.009604,               0.009604,               0.009604
                      6,                 1.6167,                 1.2761,                 1.4302,                0.51332,                0.29175,                0.29917,                0.14124,                 2.0527,                  1.747,                  1.505,               0.009505,               0.009505,               0.009505
                      7,                 1.5945,                 1.2387,                 1.4255,                0.49612,                0.34167,                0.29705,                0.14175,                 2.0185,                 1.6304,                 1.4705,               0.009406,               0.009406,               0.009406
                      8,                 1.5819,                 1.2242,                 1.4063,                0.44099,                0.30215,                0.26489,                0.12007,                 2.1981,                  1.817,                 1.6697,               0.009307,               0.009307,               0.009307
                      9,                 1.5743,                 1.2086,                 1.3948,                0.52739,                0.32823,                 0.3276,                0.17178,                   1.89,                 1.4975,                 1.4339,               0.009208,               0.009208,               0.009208
                     10,                 1.5306,                 1.1801,                  1.381,                0.55694,                0.35591,                0.34361,                0.17152,                 1.9225,                 1.4596,                 1.4279,               0.009109,               0.009109,               0.009109
                     11,                  1.535,                 1.1614,                 1.3808,                0.46848,                0.34919,                0.31434,                0.16648,                 1.9051,                 1.6412,                 1.4363,                0.00901,                0.00901,                0.00901
                     12,                 1.5226,                 1.1444,                  1.365,                0.49138,                0.34785,                  0.327,                0.16777,                  1.904,                 1.5201,                 1.4485,               0.008911,               0.008911,               0.008911
                     13,                 1.5144,                 1.1311,                 1.3645,                0.57397,                0.35188,                0.36013,                0.19365,                 1.8229,                 1.3241,                 1.4049,               0.008812,               0.008812,               0.008812
                     14,                 1.4953,                 1.1299,                 1.3558,                 0.5257,                 0.3586,                0.34832,                0.18983,                  1.803,                 1.4347,                 1.3796,               0.008713,               0.008713,               0.008713
                     15,                  1.495,                 1.1178,                 1.3502,                0.53622,                0.34785,                0.36039,                0.18684,                 1.8709,                 1.3821,                 1.4041,               0.008614,               0.008614,               0.008614
                     16,                  1.491,                 1.1115,                 1.3483,                0.53441,                0.36452,                  0.331,                0.16772,                 1.9103,                 1.4373,                 1.4274,               0.008515,               0.008515,               0.008515
                     17,                  1.499,                 1.1148,                  1.354,                0.51227,                0.34812,                0.33469,                0.17563,                 1.8432,                 1.5367,                 1.4431,               0.008416,               0.008416,               0.008416
                     18,                 1.4642,                 1.0909,                 1.3375,                0.55074,                0.37876,                0.37588,                0.20229,                 1.8074,                 1.2688,                 1.3847,               0.008317,               0.008317,               0.008317
                     19,                 1.4641,                 1.0821,                 1.3336,                0.52916,                0.38387,                0.36899,                0.19477,                 1.8394,                 1.3515,                 1.4175,               0.008218,               0.008218,               0.008218
                     20,                 1.4635,                 1.0822,                 1.3321,                0.58127,                0.34355,                0.36158,                0.19266,                  1.853,                 1.3159,                 1.4534,               0.008119,               0.008119,               0.008119
                     21,                  1.457,                 1.0688,                 1.3239,                0.56348,                0.37634,                0.38323,                0.20894,                  1.798,                 1.2709,                 1.4054,                0.00802,                0.00802,                0.00802
                     22,                 1.4467,                 1.0657,                 1.3216,                 0.5607,                 0.3664,                0.37471,                0.19832,                 1.8424,                 1.3023,                 1.4517,               0.007921,               0.007921,               0.007921
                     23,                 1.4455,                 1.0599,                 1.3268,                0.52963,                0.37527,                  0.372,                0.19851,                 1.8055,                 1.3501,                 1.4013,               0.007822,               0.007822,               0.007822
                     24,                 1.4516,                 1.0574,                 1.3205,                0.52113,                0.36422,                0.36484,                0.20249,                 1.8112,                 1.2634,                 1.4073,               0.007723,               0.007723,               0.007723
                     25,                 1.4449,                 1.0605,                 1.3182,                0.54569,                0.37473,                0.38034,                0.20753,                 1.8148,                 1.2551,                 1.3988,               0.007624,               0.007624,               0.007624
                     26,                 1.4405,                 1.0506,                 1.3111,                0.58784,                0.37903,                0.39023,                0.20901,                 1.8006,                  1.258,                 1.4024,               0.007525,               0.007525,               0.007525
                     27,                 1.4195,                 1.0472,                 1.3045,                0.53704,                 0.3828,                0.37797,                0.20034,                 1.8079,                 1.2658,                 1.3825,               0.007426,               0.007426,               0.007426
                     28,                  1.415,                 1.0434,                 1.3142,                0.55539,                0.36667,                 0.3773,                0.20661,                  1.785,                 1.2432,                  1.351,               0.007327,               0.007327,               0.007327
                     29,                 1.4136,                 1.0179,                    1.3,                0.57699,                0.38171,                   0.39,                0.21109,                 1.8259,                 1.2045,                 1.4131,               0.007228,               0.007228,               0.007228
                     30,                 1.4232,                 1.0306,                  1.311,                0.57741,                0.39543,                0.39449,                0.20907,                 1.8207,                  1.202,                 1.3969,               0.007129,               0.007129,               0.007129
                     31,                 1.4005,                 1.0139,                 1.2959,                0.58142,                0.38817,                0.39879,                0.21272,                  1.809,                 1.1809,                 1.4168,                0.00703,                0.00703,                0.00703
                     32,                    1.4,                 1.0113,                 1.2934,                0.57412,                0.39427,                0.39874,                0.21319,                 1.7624,                 1.1857,                 1.3692,               0.006931,               0.006931,               0.006931
                     33,                 1.3914,                 1.0094,                 1.2954,                0.56494,                0.39059,                0.39363,                0.21953,                   1.73,                  1.183,                 1.3662,               0.006832,               0.006832,               0.006832
                     34,                 1.3945,                 1.0046,                 1.2943,                 0.5952,                0.37581,                0.39143,                0.21198,                 1.7747,                 1.2267,                 1.3998,               0.006733,               0.006733,               0.006733
                     35,                 1.3933,                 1.0088,                 1.2906,                0.57204,                0.39562,                0.39619,                0.21688,                 1.7616,                 1.1571,                 1.3819,               0.006634,               0.006634,               0.006634
                     36,                 1.4015,                 1.0088,                 1.2875,                0.60426,                0.38978,                0.39962,                0.22583,                 1.7066,                 1.1364,                   1.37,               0.006535,               0.006535,               0.006535
